Temperament,Height,Weight,Life Expectancy,breed,link
"Loyal, Alert, Curious",7-10 inches,8-10 pounds,12-15 years,Brussels Griffon,https://www.akc.org/dog-breeds/brussels-griffon/
"Playful, Charming, Mischievous",21-22 inches,50-70 pounds,12-13 years,Bull Terrier,https://www.akc.org/dog-breeds/bull-terrier/
"Friendly, Courageous, Calm",14-15 inches,"50 pounds (male), 40 pounds (female)",8-10 years,Bulldog,https://www.akc.org/dog-breeds/bulldog/
"Affectionate, Loyal, Brave","25-27 inches (male), 24-26 inches (female)","110-130 pounds (male), 100-120 pounds (female)",7-9 years,Bullmastiff,https://www.akc.org/dog-breeds/bullmastiff/
"Alert, Cheerful, Busy","10 inches (male), 9.5 inches (female)","14 pounds (male), 13 pounds (female)",13-15 years,Cairn Terrier,https://www.akc.org/dog-breeds/cairn-terrier/
"Confident, Alert, Vigilant","20-24 inches (male), 19-23 inches (female)","45-55 pounds (male), 35-45 pounds (female)",12-15 years,Canaan Dog,https://www.akc.org/dog-breeds/canaan-dog/
"Affectionate, Intelligent, Majestic","25-27.5 inches (male), 23.5-26 inches (female)",Proportionate to height,9-12 years,Cane Corso,https://www.akc.org/dog-breeds/cane-corso/
"Affectionate, Loyal, Smart",10.5-12.5 inches,"30-38 pounds (male), 25-34 pounds (female)",12-15 years,Cardigan Welsh Corgi,https://www.akc.org/dog-breeds/cardigan-welsh-corgi/
"Loyal, Independent, Reserved with Strangers",17.75-19.5 inches,30-55 pounds,,Carolina Dog,https://www.akc.org/dog-breeds/carolina-dog/
"Loyal, Independent, Watchful",22-24 inches,50-95 pounds,10-14 years,Catahoula Leopard Dog,https://www.akc.org/dog-breeds/catahoula-leopard-dog/
"Fearless, Bold, Kind",23-30 inches,99-170 pounds,10-12 years,Caucasian Shepherd Dog,https://www.akc.org/dog-breeds/caucasian-shepherd-dog/
"Affectionate, Gentle, Graceful",12-13 inches,13-18 pounds,12-15 years,Cavalier King Charles Spaniel,https://www.akc.org/dog-breeds/cavalier-king-charles-spaniel/
"Independent, Courageous, Self-Confident",Minimum: 25.5-27.5 inches,Minimum: 88-110 pounds,,Central Asian Shepherd Dog,https://www.akc.org/dog-breeds/central-asian-shepherd-dog/
"Clever, Adventurous, Family-Oriented",10-13 inches,14-24 pounds,12-15 years,Cesky Terrier,https://www.akc.org/dog-breeds/cesky-terrier/
"Affectionate, Bright, Sensitive","23-26 inches (male), 21-24 inches (female)","65-80 pounds (male), 55-70 pounds (female)",10-13 years,Chesapeake Bay Retriever,https://www.akc.org/dog-breeds/chesapeake-bay-retriever/
"Charming, Graceful, Sassy",5-8 inches,not exceeding 6 pounds,14-16 years,Chihuahua,https://www.akc.org/dog-breeds/chihuahua/
"Affectionate, Alert, Lively",11-13 inches,8-12 pounds,13-18 years,Chinese Crested,https://www.akc.org/dog-breeds/chinese-crested/
"Loyal, Independent, Calm",18-20 inches,45-60 pounds,8-12 years,Chinese Shar-Pei,https://www.akc.org/dog-breeds/chinese-shar-pei/
"Smart, Patient, Devoted","24-26 inches (male), 22-24 inches (female)","55-90 pounds (male), 50-65 pounds (female)",12-15 years,Chinook,https://www.akc.org/dog-breeds/chinook/
"Dignified, Bright, Serious-Minded",17-20 inches,45-70 pounds,8-12 years,Chow Chow,https://www.akc.org/dog-breeds/chow-chow/
"Affectionate, Friendly, Independent","18-19.5 inches (male), 16.5-18 inches (female)","22-26 pounds (male), 17-22 pounds (female)",12-14 years,Cirneco dell’Etna,https://www.akc.org/dog-breeds/cirneco-delletna/
"Mellow, Amusing, Gentlemanly","18-20 inches (male), 17-19 inches (female)","70-85 pounds (male), 55-70 pounds (female)",10-12 years,Clumber Spaniel,https://www.akc.org/dog-breeds/clumber-spaniel/
"Gentle, Smart, Happy","14.5-15.5 inches (male), 13.5-14.5 inches (female)","25-30 pounds (male), 20-25 pounds (female)",10-14 years,Cocker Spaniel,https://www.akc.org/dog-breeds/cocker-spaniel/
"Devoted, Graceful, Proud","24-26 inches (male), 22-24 inches (female)","60-75 pounds (male), 50-65 pounds (female)",12-14 years,Collie,https://www.akc.org/dog-breeds/collie/
"Charming, Bright, Happy-Go-Lucky","10-11 inches (male), 9-10 inches (female)","9-15 pounds (male), 8-13 pounds (female)",15-19 years,Coton de Tulear,https://www.akc.org/dog-breeds/coton-de-tulear/
"Loyal, Active, Alert and Intelligent",16-20 inches,29-44 pounds,13-14 years,Croatian Sheepdog,https://www.akc.org/dog-breeds/croatian-sheepdog/
"Confident, Proud, Wickedly Smart","25-27 inches (male), 23-25 inches (female)",60-95 pounds,10-12 years,Curly-Coated Retriever,https://www.akc.org/dog-breeds/curly-coated-retriever/
"Loyal, Intelligent, Active",Minimum: 23.5-25.5 inches,Minimum: 44-57 pounds,10-15 years,Czechoslovakian Vlcak,https://www.akc.org/dog-breeds/czechoslovakian-vlcak/
"Friendly, Curious, Spunky","8-9 inches (standard), 5-6 inches (miniature)","16-32 pounds (standard), 11 pounds & under (miniature)",12-16 years,Dachshund,https://www.akc.org/dog-breeds/dachshund/
"Dignified, Smart, Outgoing",19-24 inches,45-70 pounds,11-13 years,Dalmatian,https://www.akc.org/dog-breeds/dalmatian/
"Independent, Smart, Proud",8-11 inches,18-24 pounds,12-15 years,Dandie Dinmont Terrier,https://www.akc.org/dog-breeds/dandie-dinmont-terrier/
"Energetic, Trainable, Attentive",12.5-14.5 inches,15-20 pounds,11-13 years,Danish-Swedish Farmdog,https://www.akc.org/dog-breeds/danish-swedish-farmdog/
"Friendly, Versatile, Determined",18-21 inches,40-55 pounds,12-14 years,Deutscher Wachtelhund,https://www.akc.org/dog-breeds/deutscher-wachtelhund/
"Loyal, Fearless, Alert","26-28 inches (male), 24-26 inches (female)","75-100 pounds (male), 60-90 pounds (female)",10-12 years,Doberman Pinscher,https://www.akc.org/dog-breeds/doberman-pinscher/
"Friendly, Cheerful, Humble","24-26.5 inches (male), 24-25.5 inches (female)","88-100 pounds (male), 88-95 pounds (female)",9-15 years,Dogo Argentino,https://www.akc.org/dog-breeds/dogo-argentino/
"Affectionate, Loyal, Courageous","23.27 inches (male), 23-26 inches (female)","110 pounds & up (male), 99 pounds & up (female)",5-8 years,Dogue de Bordeaux,https://www.akc.org/dog-breeds/dogue-de-bordeaux/
"Loyal, Intelligent, Sensitive",21-25 inches,48-73 pounds,11–14 years,Drentsche Patrijshond,https://www.akc.org/dog-breeds/drentsche-patrijshond/
"Loyal, Even-Tempered, Determined",12-15 inches,35-40 pounds,~15 years,Drever,https://www.akc.org/dog-breeds/drever/
"Intelligent, Lively, Athletic",21.5-24.5 inches,42-75 pounds,11-14 years,Dutch Shepherd,https://www.akc.org/dog-breeds/dutch-shepherd/
"Energetic, Merry, Responsive","16-17 inches (male), 15-16 inches (female)","28-34 pounds (male), 26-32 pounds (female)",12-14 years,English Cocker Spaniel,https://www.akc.org/dog-breeds/english-cocker-spaniel/
"Affectionate, Gentle, Sociable",24 inches,60-75 pounds,10-13 years,English Foxhound,https://www.akc.org/dog-breeds/english-foxhound/
"Friendly, Mellow, Merry","25-27 inches (male), 23-25 inches (female)","65-80 pounds (male), 45-55 pounds (female)",12 years,English Setter,https://www.akc.org/dog-breeds/english-setter/
"Friendly, Playful, Obedient","20 inches (male), 19 inches (female)","50 pounds (male), 40 pounds (female)",12-14 years,English Springer Spaniel,https://www.akc.org/dog-breeds/english-springer-spaniel/
"Gentle, Playful, Intelligent",9-10 inches,8-14 pounds,10-12 years,English Toy Spaniel,https://www.akc.org/dog-breeds/english-toy-spaniel/
"Loyal, Smart, Enthusiastic","17-21 inches (male), 16-20 inches (female)","50-65 pounds (male), 40-55 pounds (female)",11-13 years,Entlebucher Mountain Dog,https://www.akc.org/dog-breeds/entlebucher-mountain-dog/
"Alert, Intelligent, Brave",24.5-29 inches,77-132 pounds,10-14 years,Estrela Mountain Dog,https://www.akc.org/dog-breeds/estrela-mountain-dog/
"Confident, Calm, Family-Oriented",19-24 inches,40-70 pounds,12-16 years,Eurasier,https://www.akc.org/dog-breeds/eurasier/
"Sweet, Fun-Loving, Sensitive","18 inches (male), 17 inches (female)",35-50 pounds,12-13 years,Field Spaniel,https://www.akc.org/dog-breeds/field-spaniel/
"Friendly, Alert, Agile","18-21 inches (male), 16-19 inches (female)",33-53 pounds,12-15 years,Finnish Lapphund,https://www.akc.org/dog-breeds/finnish-lapphund/
"Friendly, Good-Natured, Lively","17.5-20 inches (male), 15.5-18 inches (female)","25-33 pounds (male), 20-28 pounds (female)",13-15 years,Finnish Spitz,https://www.akc.org/dog-breeds/finnish-spitz/
"Cheerful, Optimistic, Good-Humored","23-24.5 inches (male), 22-23.5 inches (female)",60-70 pounds,8-10 years,Flat-Coated Retriever,https://www.akc.org/dog-breeds/flat-coated-retriever/
"Adaptable, Playful, Smart",11-13 inches,under 28 pounds,10-12 years,French Bulldog,https://www.akc.org/dog-breeds/french-bulldog/
"Gentle, Sociable, Intelligent",21.5-24 inches,50-60 pounds,10-12 years,French Spaniel,https://www.akc.org/dog-breeds/french-spaniel/
"Versatile, Calm, Family-Oriented",22-28 inches,55-80 pounds,12-14 years,German Longhaired Pointer,https://www.akc.org/dog-breeds/german-longhaired-pointer/
"Courageous, Intelligent, Vivacious",17-20 inches,25-45 pounds,12-14 years,German Pinscher,https://www.akc.org/dog-breeds/german-pinscher/
"Confident, Courageous, Smart","24-26 inches (male), 22-24 inches (female)","65-90 pounds (male), 50-70 pounds (female)",7-10 years,German Shepherd Dog,https://www.akc.org/dog-breeds/german-shepherd-dog/
"Friendly, Smart, Willing to Please","23-25 inches (male), 21-23 inches (female)","55-70 pounds (male), 45-60 pounds (female)",10-12 years,German Shorthaired Pointer,https://www.akc.org/dog-breeds/german-shorthaired-pointer/
"Devoted, Lively, Attentive",12-15 inches,24-26 pounds,13-15 years,German Spitz,https://www.akc.org/dog-breeds/german-spitz/
"Affectionate, Eager, Enthusiastic","24-26 inches (male), minimum 22 inches (female)",50-70 pounds,14-16 years,German Wirehaired Pointer,https://www.akc.org/dog-breeds/german-wirehaired-pointer/
"Loyal, Alert, Trainable","25.5-27.5 inches (male), 23.5-25.5 inches (female)","60-85 pounds (male), 55-75 pounds (female)",12-15 years,Giant Schnauzer,https://www.akc.org/dog-breeds/giant-schnauzer/
"Gentle, Spirited, Bold",12.5-14 inches,32-40 pounds,10-15 years,Glen of Imaal Terrier,https://www.akc.org/dog-breeds/glen-of-imaal-terrier/
"Friendly, Intelligent, Devoted","23-24 inches (male), 21.5-22.5 inches (female)","65-75 pounds (male), 55-65 pounds (female)",10-12 years,Golden Retriever,https://www.akc.org/dog-breeds/golden-retriever/
"Affectionate, Confident, Bold","24-27 inches (male), 23-26 inches (female)","55-80 pounds (male), 45-70 pounds (female)",12-13 years,Gordon Setter,https://www.akc.org/dog-breeds/gordon-setter/
"Independent, Happy, Outgoing",15.5-18 inches,40-45 pounds,13-15 years,Grand Basset Griffon Vendéen,https://www.akc.org/dog-breeds/grand-basset-griffon-vendeen/
"Friendly, Patient, Dependable","30-32 inches (male), 28-30 inches (female)","140-175 pounds (male), 110-140 pounds (female)",7-10 years,Great Dane,https://www.akc.org/dog-breeds/great-dane/
"Smart, Patient, Calm","27-32 inches (male), 25-29 inches (female)","100 pounds & up (male), 85 pounds & up (female)",10-12 years,Great Pyrenees,https://www.akc.org/dog-breeds/great-pyrenees/
"Faithful, Family-Oriented, Dependable","25.5-28.5 inches (male), 23.5-27 inches (female)","115-140 pounds (male), 85-110 pounds (female)",8-11 years,Greater Swiss Mountain Dog,https://www.akc.org/dog-breeds/greater-swiss-mountain-dog/
"Gentle, Independent, Noble","28-30 inches (male), 27-28 inches (female)","65-70 pounds (male), 60-65 pounds (female)",10-13 years,Greyhound,https://www.akc.org/dog-breeds/greyhound/
"Agile, Versatile, Regal",19-24 inches,40-75 pounds,14-17 years,Hamiltonstovare,https://www.akc.org/dog-breeds/hamiltonstovare/
"Loyal, Independent, Calm",19-21 inches,79-99 pounds,10-14 years,Hanoverian Scenthound,https://www.akc.org/dog-breeds/hanoverian-scenthound/
"Friendly, Outgoing, People-Oriented",19-21 inches,45-60 pounds,12-15 years,Harrier,https://www.akc.org/dog-breeds/harrier/
"Intelligent, Outgoing, Funny",8.5-11.5 inches,7-13 pounds,14-16 years,Havanese,https://www.akc.org/dog-breeds/havanese/
"Dignified, Alert, Devoted",18-20 inches,44-66 pounds,12-15 years,Hokkaido,https://www.akc.org/dog-breeds/hokkaido/
"Alert, Faithful, Intelligent",23-28 inches,65-90 pounds,10-14 years,Hovawart,https://www.akc.org/dog-breeds/hovawart/
"Family-Oriented, Even-Tempered, Polite","23.5-27.5 inches (male), 22.5-26 inches (female)","50 pounds (male), 45 pounds (female)",11-14 years,Ibizan Hound,https://www.akc.org/dog-breeds/ibizan-hound/
"Friendly, Playful, Inquisitive","18 inches (male), 16.5 inches (female)","30 pounds (male), 25 pounds (female)",12-14 years,Icelandic Sheepdog,https://www.akc.org/dog-breeds/icelandic-sheepdog/
"Courageous, Spirited, Determined","24.5-26 inches (male), 22.5-24 inches (female)","42-60 pounds (male), 35-50 pounds (female)",11-15 years,Irish Red and White Setter,https://www.akc.org/dog-breeds/irish-red-and-white-setter/
"Active, Outgoing, Sweet-Natured","27 inches (male), 25 inches (female)","70 pounds (male), 60 pounds (female)",12-15 years,Irish Setter,https://www.akc.org/dog-breeds/irish-setter/
"Bold, Dashing, Tenderhearted",18 inches,"27 pounds (male), 25 pounds (female)",13-15 years,Irish Terrier,https://www.akc.org/dog-breeds/irish-terrier/
"Playful, Hardworking, Brave","22-24 inches (male), 21-23 inches (female)","55-68 pounds (male), 45-58 pounds (female)",12-13 years,Irish Water Spaniel,https://www.akc.org/dog-breeds/irish-water-spaniel/
"Courageous, Dignified, Calm","32 inches minimum (male), 30 inches minimum (female)","120 pounds (male), 105 pounds (female)",6-8 years,Irish Wolfhound,https://www.akc.org/dog-breeds/irish-wolfhound/
"Playful, Alert, Sensitive",13-15 inches,7-14 pounds,14-15 years,Italian Greyhound,https://www.akc.org/dog-breeds/italian-greyhound/
"Courageous, Intelligent, Hardworking",13-16 inches,17-22 pounds,10-12 years,Jagdterrier,https://www.akc.org/dog-breeds/jagdterrier/
"Charming, Noble, Loving",8-11 inches,7-11 pounds,10-12 years,Japanese Chin,https://www.akc.org/dog-breeds/japanese-chin/
"Loyal, Playful, Smart",12-15 inches,10-25 pounds,12-14 years,Japanese Spitz,https://www.akc.org/dog-breeds/japanese-spitz/
"Alert, Intelligent, Bold",18-22 inches,30-50 pounds,~14 years,Jindo,https://www.akc.org/dog-breeds/jindo/
"Loyal, Agile, Keen",15.5-19.5 inches,20-40 pounds,12-15 years,Kai Ken,https://www.akc.org/dog-breeds/kai-ken/
"Loyal, Independent, Courageous",19-23.5 inches,44-49 pounds,11-13 years,Karelian Bear Dog,https://www.akc.org/dog-breeds/karelian-bear-dog/
"Friendly, Lively, Outgoing","18 inches (male), 17 inches (female)",35-45 pounds,12-15 years,Keeshond,https://www.akc.org/dog-breeds/keeshond/
"Smart, Alert, People-Oriented","18-19.5 inches (male), 17.5-19 inches (female)","33-40 pounds (male), females weigh slightly less than males",12-15 years,Kerry Blue Terrier,https://www.akc.org/dog-breeds/kerry-blue-terrier/
"Faithful, Noble, Docile",17-22 inches,30-60 pounds,11-13 years,Kishu Ken,https://www.akc.org/dog-breeds/kishu-ken/
"Loyal, Dignified, Brave","27.5 minimum inches (male), 25.5 minimum inches (female)","100 pounds or more (male), 80 pounds or more (female)",10-12 years,Komondor,https://www.akc.org/dog-breeds/komondor/
"Intelligent, Active, Sensitive",15-18 inches,20-35 pounds,13-15 years,Kromfohrlander,https://www.akc.org/dog-breeds/kromfohrlander/
"Loyal, Fearless, Sweet","28-30 inches (male), 26-28 inches (female)","100-115 pounds (male), 70-90 pounds (female)",10-12 years,Kuvasz,https://www.akc.org/dog-breeds/kuvasz/
"Friendly, Active, Outgoing","22.5-24.5 inches (male), 21.5-23.5 inches (female)","65-80 pounds (male), 55-70 pounds (female)",10-12 years,Labrador Retriever,https://www.akc.org/dog-breeds/labrador-retriever/
"Affectionate, Keen, Undemanding","17-19 inches (male), 16-18 inches (female)","28.5-35 pounds (male), 24-31 pounds (female)",15-17 years,Lagotto Romagnolo,https://www.akc.org/dog-breeds/lagotto-romagnolo/
"Friendly, Confident, Bold","14-15 inches (male), slightly smaller (female)","17 pounds (male), slightly smaller (female)",12-15 years,Lakeland Terrier,https://www.akc.org/dog-breeds/lakeland-terrier/
"Affectionate, Versatile, Intelligent",10-12 inches,9-17 pounds,12-15 years,Lancashire Heeler,https://www.akc.org/dog-breeds/lancashire-heeler/
"Friendly, Energetic, Intelligent",18-20 inches,70 pounds,10-14 years,Lapponian Herder,https://www.akc.org/dog-breeds/lapponian-herder/
"Friendly, Gentle, Playful","28-31.5 inches (male), 25.5-29.5 inches (female)","110-170 pounds (male), 90-140 pounds (female)",9 years,Leonberger,https://www.akc.org/dog-breeds/leonberger/
"Confident, Smart, Comical","10-11 inches (male), slightly smaller (female)",12-18 pounds,12-15 years,Lhasa Apso,https://www.akc.org/dog-breeds/lhasa-apso/
"Affectionate, Outgoing, Positive",11-13 inches,10-15 pounds,15+ years,Löwchen,https://www.akc.org/dog-breeds/lowchen/
"Gentle, Playful, Charming",7-9 inches,under 7 pounds,12-15 years,Maltese,https://www.akc.org/dog-breeds/maltese/
"Spirited, Bright, Keenly Observant",15-16 inches,12-22 pounds,15-17 years,Manchester Terrier (Standard),https://www.akc.org/dog-breeds/manchester-terrier-standard/
"Agile, Spirited, Intelligent",10-12 inches,under 12 pounds,15-17 years,Manchester Terrier (Toy),https://www.akc.org/dog-breeds/manchester-terrier-toy/
"Courageous, Dignified, Good-Natured","30 inches & up (male), 27.5 inches & up (female)","160-230 pounds (male), 120-170 pounds (female)",6-10 years,Mastiff,https://www.akc.org/dog-breeds/mastiff/
"Good-Natured, Intelligent, Devoted","14-18 inches (male), 13-17 inches (female)",20-40 pounds,12-13 years,Miniature American Shepherd,https://www.akc.org/dog-breeds/miniature-american-shepherd/
"Upbeat, Mischievous, Comical",10-14 inches,18-28 pounds,11-13 years,Miniature Bull Terrier,https://www.akc.org/dog-breeds/miniature-bull-terrier/
"Fearless, Fun-Loving, Proud",10-12.5 inches,8-10 pounds,12-16 years,Miniature Pinscher,https://www.akc.org/dog-breeds/miniature-pinscher/
"Friendly, Smart, Obedient",12-14 inches,11-20 pounds,12-15 years,Miniature Schnauzer,https://www.akc.org/dog-breeds/miniature-schnauzer/
"Intelligent, Strong-Willed, Reserved with Strangers",16-26 inches,30-60 pounds,10-13 years,Mountain Cur,https://www.akc.org/dog-breeds/mountain-cur/
"Loyal, Intelligent, Active",15-18.5 inches,18-29 pounds,12-14 years,Mudi,https://www.akc.org/dog-breeds/mudi/
"Loyal, Dignified, Watchful","26-31 inches (male), 24-29 inches (female)","150 pounds (male), 110 pounds (female)",7-9 years,Neapolitan Mastiff,https://www.akc.org/dog-breeds/neapolitan-mastiff/
"Friendly, Alert, Quick","15-17 inches (male), 14-16 inches (female)",20-30 pounds,12-15 years,Nederlandse Kooikerhondje,https://www.akc.org/dog-breeds/nederlandse-kooikerhondje/
"Sweet, Patient, Devoted","28 inches (male), 26 inches (female)","130-150 pounds (male), 100-120 pounds (female)",9-10 years,Newfoundland,https://www.akc.org/dog-breeds/newfoundland/
"Fearless, Alert, Fun-Loving",9-10 inches,11-12 pounds,12-16 years,Norfolk Terrier,https://www.akc.org/dog-breeds/norfolk-terrier/
"Fearless, Agile, Attentive",16.5-18 inches,20-30 pounds,14-17 years,Norrbottenspets,https://www.akc.org/dog-breeds/norrbottenspets/
"Confident, Smart, Perceptive","17-18.5 inches (male), 16-17.5 inches (female)","31-40 pounds (male), 26-35 pounds (female)",12-15 years,Norwegian Buhund,https://www.akc.org/dog-breeds/norwegian-buhund/
"Friendly, Confident, Dependable","20.5 inches (male), 19.5 inches (female)","55 pounds (male), 48 pounds (female)",12-15 years,Norwegian Elkhound,https://www.akc.org/dog-breeds/norwegian-elkhound/
"Loyal, Energetic, Alert","13-15 inches (male), 12-14 inches (female)",20-30 pounds,12-15 years,Norwegian Lundehund,https://www.akc.org/dog-breeds/norwegian-lundehund/
