breed_name,height,image_path,is_friendly,is_playful,is_protective,is_fast_learner,is_athletic,is_graceful
afghan_hound,tall,images/wiki/afghan_hound_0.jpg,False,False,False,False,False,False
afghan_hound,tall,images/wiki/afghan_hound_1.jpg,False,False,False,False,False,False
afghan_hound,tall,images/wiki/afghan_hound_2.jpg,False,False,False,False,False,False
afghan_hound,tall,images/wiki/afghan_hound_4.jpg,False,False,False,False,False,False
afghan_hound,tall,images/wiki/afghan_hound_5.jpg,False,False,False,False,False,False
afghan_hound,tall,images/wiki/afghan_hound_6.jpg,False,False,False,False,False,False
airedale_terrier,medium,images/wiki/airedale_terrier_0.jpg,True,False,False,False,False,False
airedale_terrier,medium,images/wiki/airedale_terrier_8.jpg,True,False,False,False,False,False
american_english_coonhound,tall,images/wiki/american_english_coonhound_0.jpg,True,False,False,False,False,False
american_english_coonhound,tall,images/wiki/american_english_coonhound_1.jpg,True,False,False,False,False,False
american_staffordshire_terrier,medium,images/wiki/american_staffordshire_terrier_0.jpg,True,False,False,False,False,False
american_staffordshire_terrier,medium,images/wiki/american_staffordshire_terrier_2.jpg,True,False,False,False,False,False
american_staffordshire_terrier,medium,images/wiki/american_staffordshire_terrier_3.jpg,True,False,False,False,False,False
appenzeller_sennenhund,medium,images/wiki/appenzeller_sennenhund_0.jpg,False,False,False,False,True,False
australian_cattle_dog,medium,images/wiki/australian_cattle_dog_0.jpg,False,False,True,False,False,False
australian_cattle_dog,medium,images/wiki/australian_cattle_dog_2.jpg,False,False,True,False,False,False
australian_cattle_dog,medium,images/wiki/australian_cattle_dog_3.jpg,False,False,True,False,False,False
australian_cattle_dog,medium,images/wiki/australian_cattle_dog_4.jpg,False,False,True,False,False,False
australian_cattle_dog,medium,images/wiki/australian_cattle_dog_5.jpg,False,False,True,False,False,False
australian_cattle_dog,medium,images/wiki/australian_cattle_dog_6.jpg,False,False,True,False,False,False
australian_cattle_dog,medium,images/wiki/australian_cattle_dog_7.jpg,False,False,True,False,False,False
australian_cattle_dog,medium,images/wiki/australian_cattle_dog_8.jpg,False,False,True,False,False,False
australian_cattle_dog,medium,images/wiki/australian_cattle_dog_9.jpg,False,False,True,False,False,False
australian_shepherd,medium,images/wiki/australian_shepherd_1.jpg,False,False,False,False,False,False
australian_shepherd,medium,images/wiki/australian_shepherd_4.jpg,False,False,False,False,False,False
azawakh,medium,images/wiki/azawakh_2.jpg,False,False,False,False,False,False
azawakh,tall,images/wiki/azawakh_4.jpg,False,False,False,False,False,False
azawakh,short,images/wiki/azawakh_6.jpg,False,False,False,False,False,False
basset_hound,short,images/wiki/basset_hound_2.jpg,True,False,False,False,False,False
basset_hound,short,images/wiki/basset_hound_3.jpg,True,False,False,False,False,False
bearded_collie,medium,images/wiki/bearded_collie_0.jpg,False,False,False,False,False,False
bearded_collie,medium,images/wiki/bearded_collie_1.jpg,False,False,False,False,False,False
bearded_collie,medium,images/wiki/bearded_collie_2.jpg,False,False,False,False,False,False
bluetick_coonhound,tall,images/wiki/bluetick_coonhound_0.jpg,False,False,True,False,False,False
bluetick_coonhound,medium,images/wiki/bluetick_coonhound_1.jpg,False,False,True,False,False,False
bohemian_shepherd,medium,images/wiki/bohemian_shepherd_0.jpg,True,False,True,False,False,False
border_collie,medium,images/wiki/border_collie_0.jpg,True,False,False,False,False,False
border_collie,medium,images/wiki/border_collie_1.jpg,True,False,False,False,False,False
border_collie,medium,images/wiki/border_collie_4.jpg,True,False,False,False,False,False
border_collie,medium,images/wiki/border_collie_5.jpg,True,False,False,False,False,False
border_collie,medium,images/wiki/border_collie_6.jpg,True,False,False,False,False,False
border_collie,medium,images/wiki/border_collie_8.jpg,True,False,False,False,False,False
border_collie,medium,images/wiki/border_collie_9.jpg,True,False,False,False,False,False
border_collie,medium,images/wiki/border_collie_10.jpg,True,False,False,False,False,False
braque_du_bourbonnais,medium,images/wiki/braque_du_bourbonnais_0.jpg,True,False,False,False,False,False
braque_du_bourbonnais,medium,images/wiki/braque_du_bourbonnais_1.jpg,True,False,False,False,False,False
braque_du_bourbonnais,x-short,images/wiki/braque_du_bourbonnais_2.jpg,True,False,False,False,False,False
bulldog,short,images/wiki/bulldog_0.jpg,True,False,False,False,False,False
bulldog,short,images/wiki/bulldog_1.jpg,True,False,False,False,False,False
bulldog,short,images/wiki/bulldog_2.jpg,True,False,False,False,False,False
bulldog,short,images/wiki/bulldog_3.jpg,True,False,False,False,False,False
bulldog,short,images/wiki/bulldog_4.jpg,True,False,False,False,False,False
bulldog,short,images/wiki/bulldog_5.jpg,True,False,False,False,False,False
bulldog,short,images/wiki/bulldog_6.jpg,True,False,False,False,False,False
canaan_dog,medium,images/wiki/canaan_dog_1.jpg,False,False,True,False,False,False
carolina_dog,x-short,images/wiki/carolina_dog_2.jpg,False,False,True,False,False,False
chow_chow,medium,images/wiki/chow_chow_1.jpg,False,False,False,True,False,False
chow_chow,medium,images/wiki/chow_chow_2.jpg,False,False,False,True,False,False
croatian_sheepdog,medium,images/wiki/croatian_sheepdog_2.jpg,False,False,False,False,False,False
dalmatian,medium,images/wiki/dalmatian_1.jpg,False,False,False,False,False,False
dalmatian,medium,images/wiki/dalmatian_2.jpg,False,False,False,False,False,False
english_springer_spaniel,medium,images/wiki/english_springer_spaniel_0.jpg,True,False,False,True,False,False
entlebucher_mountain_dog,medium,images/wiki/entlebucher_mountain_dog_0.jpg,False,False,False,False,False,False
entlebucher_mountain_dog,medium,images/wiki/entlebucher_mountain_dog_1.jpg,False,False,False,False,False,False
field_spaniel,medium,images/wiki/field_spaniel_0.jpg,True,False,False,False,False,False
field_spaniel,medium,images/wiki/field_spaniel_2.jpg,True,False,False,False,False,False
finnish_lapphund,medium,images/wiki/finnish_lapphund_0.jpg,True,False,True,False,True,False
finnish_lapphund,medium,images/wiki/finnish_lapphund_1.jpg,True,False,True,False,True,False
french_spaniel,short,images/wiki/french_spaniel_2.jpg,True,False,False,False,False,False
german_pinscher,medium,images/wiki/german_pinscher_2.jpg,False,True,False,False,False,False
german_shorthaired_pointer,tall,images/wiki/german_shorthaired_pointer_0.jpg,True,False,False,True,False,False
german_wirehaired_pointer,tall,images/wiki/german_wirehaired_pointer_1.jpg,True,False,False,False,False,False
gordon_setter,tall,images/wiki/gordon_setter_3.jpg,True,False,False,False,False,False
gordon_setter,tall,images/wiki/gordon_setter_4.jpg,True,False,False,False,False,False
grand_basset_griffon_vendeen,x-short,images/wiki/grand_basset_griffon_vendeen_0.jpg,True,False,False,False,False,False
harrier,medium,images/wiki/harrier_0.jpg,True,False,False,False,False,False
ibizan_hound,short,images/wiki/ibizan_hound_0.jpg,True,False,False,False,False,True
ibizan_hound,x-short,images/wiki/ibizan_hound_1.jpg,True,False,False,False,False,True
